"cod produs o";"id produs o";ean;"pret vanzare o";PRP;"TVA o";"Status o";"stoc o";handling_time;lead_time;warranty;start_date;offer_properties;min_sale_price;max_sale_price;"name o";"brand o";"source_language o";description;url;"main_image_url o";other_image_url1;other_image_url2;other_image_url3;other_image_url4;other_image_url5;family_id;family_name;family_type;"Continut set o";"Culoare o";"Tip produs o";"Material o";main_cat_emag
VX287857;50;8719883996523;"929.63 ";"929.63 ";19;1;8;3;;;;;;;"Măsuță de cafea, 100x50x45 cm, lemn reciclat - WOODBB50";vidaXL;ro_RO;"Această măsuță de cafea din lemn, în stil clasic, emană un farmec vintage și aduce o completare mereu la modă interiorului casei dvs.

Această măsuță de cafea este fabricată din MDF și lemn masiv reciclat, care a fost obținut din traverse, podele și grinzi de sprijin din clădirile vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Aceasta înseamnă că lemnul reciclat păstrează caracteristicile diferitelor tipuri de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se îndoaie. Datorită granulației frumoase a lemnului, fiecare piesă de mobilier este unică și ușor diferită de celelalte. În plus, masa de canapea asigură spațiu pentru depozitarea cărților, carnetelor, pixurilor, precum și a diferitelor mărunțișuri. Această masă pentru camera de zi este, de asemenea, ușor de asamblat.

Notă importantă: Culoarea poate varia de la o piesă la alta, făcând fiecare piesă unică. Livrarea este aleatorie.

Culoare: Negru și maro
Material: Lemn masiv reciclat, MDF
Dimensiuni: 100 x 50 x 45 cm (L x l x î)
Cu 1 sertar și 4 rafturi
Asamblare necesară: Da
";https://woodbeback.ro/masute-cafea/50-masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat-8719883996523.html;https://woodbeback.ro/254-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/255-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/256-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/257-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/258-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/259-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;"Masute cafea";"lemn reciclat";Living
VX247954;51;8718475740506;"721.14 ";"721.14 ";19;1;3;3;;;;;;;"Bancă, 160 cm, lemn reciclat - WOODBB51";vidaXL;ro_RO;"Această bancă din lemn în stil industrial va fi o piesă atrăgătoare în bucătăria sau sufrageria dvs. Această banchetă pentru masă este realizată din lemn masiv reciclat, fiind stabilă și durabilă. Lemnul recuperat are caracteristicile diferitelor tipuri de lemn, cum ar fi lemnul de tec, lemnul de mango, lemnul de acacia etc., fiind deja învechit, erodat și uscat, astfel încât să nu se micșoreze sau să se îndoaie. Fiecare pas al procesului de fabricație se desfășoară cu cea mai mare atenție, fie că este vorba de lustruire, vopsire sau lăcuire. Picioarele solide din fier vopsit electrostatic oferă băncii o stabilitate suplimentară. Banca de hol este ușor de asamblat. Notă importantă: Culorile și fibrele lemnului variază de la o piesă la alta, fiecare dintre acestea fiind unică; livrarea este aleatorie.Material: Lemn masiv reciclat și fier vopsit electrostaticDimensiuni: 160 x 40 x 45 cm (l x ad. x î)Lustruit, vopsit și lăcuit";https://woodbeback.ro/banci-pentru-living/51-banca-160-cm-lemn-masiv-reciclat-8718475740506.html;https://woodbeback.ro/262-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/263-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/264-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/265-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/266-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/267-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;;;;Bancă;multicolor;Banci;"lemn reciclat";"Hol sau vestibul"
VX320671;52;8720286069714;"324.16 ";"324.16 ";19;1;49;3;;;;;;;"Rafturi de perete, 2 buc., 80 cm, lemn reciclat - WOODBB52";vidaXL;ro_RO;"Acest set de 2 rafturi de perete din lemn, în stil industrial, combină perfect stilul și funcționalitatea. Este, de asemenea, o opțiune excelentă pentru a decora orice perete din cameră. Acest set de rafturi de perete este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Acest lucru înseamnă că lemnul reciclat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se îndoaie. Cadrul din fier negru vopsit electrostatic asigură stabilitatea. Fiecare raft de perete are o capacitate de încărcare de 30 kg.Material: Lemn masiv reciclat, cu finisaj multicolor, fier cu finisaj negru vopsit electrostaticDimensiuni: 80 x 17 x 17 cm (l x ad. x î)Capacitate de încărcare: 30 kgAsamblare necesară: DaPachetul de livrare conține:2 x Raft de perete";https://woodbeback.ro/rafturi-de-perete-birou/52-rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat-8720286069714.html;https://woodbeback.ro/270-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/271-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/272-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/273-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/274-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/275-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;;;;;multicolor;"Rafturi de perete";"lemn reciclat";Birou
VX320383;53;8720286110812;"1146.68 ";"1146.68 ";19;0;0;3;;;;;;;"Servantă, 60 x 33 x 75 cm, lemn masiv de acacia/lemn reciclat - WOODBB53";vidaXL;ro_RO;"Dacă doriți să adăugați o notă simplă de farmec rustic decorului dvs. de interior, această servantă din lemn este soluția perfectă! Acest dulap cu uși este fabricat din lemn masiv de acacia și din lemn masiv reciclat. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Așadar, este format din diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Aceasta înseamnă, de asemenea, că lemnul recuperat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul recuperat este deja învechit, degradat și uscat, deci nu se contractă și nu se curbează. Dulapul lateral este echipat cu 2 compartimente, oferind un spațiu de depozitare amplu pentru a menține bine organizate toate articolele pe care le doriți. Notă importantă: Culorile și granulația lemnului variază de la o piesă la alta, fiecare dintre dulapurile noastre de depozitare fiind unic.Material: Lemn masiv de acacia cu finisaj natural, lemn masiv reciclat cu finisaj naturalDimensiuni totale: 60 x 33 x 75 cm (l x ad. x î)Dimensiuni compartiment: 46 x 29 x 27,5 cm (l x ad. x î)Asamblare necesară: NuAVERTISMENT: Pentru a preveni răsturnarea, acest produs trebuie utilizat împreună cu dispozitivul de prindere pe perete inclusLegal Documents:Mai multe detalii despre prevenirea răsturnării mobilierului tău pot fi găsite aici";https://woodbeback.ro/living/53-servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat-8720286110812.html;https://woodbeback.ro/278-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/279-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/280-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/281-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/282-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/283-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;;;;Servantă;multicolor;Living;"lemn reciclat";Living
VX320381;54;8720286110799;"812.53 ";"812.53 ";19;0;0;3;;;;;;;"Masă consolă 90,5x30x75cm lemn masiv de acacia și lemn reciclat - WOODBB54";vidaXL;ro_RO;"Dacă sunteți în căutarea unei note simple de farmec rustic pentru interiorul locuinței dvs., această masă consolă din lemn este exact ceea ce aveți nevoie. Această masă de hol este realizată din lemn masiv de acacia și lemn masiv reciclat. Lemnul recuperat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Astfel, masa include diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Acest lucru înseamnă și că lemnul recuperat păstrează caracteristicile acestor tipuri de lemn. Lemnul reciclat este deja învechit, erodat și uscat, astfel că nu se contractă și nu se curbează. Această masă laterală are 2 sertare, oferind spațiu amplu pentru a păstra diferite obiecte bine organizate. Notă importantă: culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare masă de hol din lemn fiind unică.Material: Lemn masiv de acacia cu finisaj natural, lemn masiv reciclat cu finisaj naturalDimensiuni totale: 90,5 x 30 x 75 cm (l x ad. x î)Dimensiuni sertar: 27 x 20 x 7 cm (l x ad. x î)Asamblare necesară: DaAVERTISMENT: Pentru a preveni răsturnarea, acest produs trebuie utilizat împreună cu dispozitivul de prindere pe perete inclusLegal Documents:Mai multe detalii despre prevenirea răsturnării mobilierului tău pot fi găsite aici";https://woodbeback.ro/hol-sau-vestibul/54-masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat-8720286110799.html;https://woodbeback.ro/286-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;https://woodbeback.ro/287-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;https://woodbeback.ro/288-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;https://woodbeback.ro/289-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;https://woodbeback.ro/290-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;https://woodbeback.ro/291-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;;;;;multicolor;"Hol sau vestibul";"lemn reciclat";"Hol sau vestibul"
VX321711;55;8720286106037;"743.99 ";"743.99 ";19;1;19;3;;;;;;;"Cărucior de bucătărie, 87x36x81 cm, lemn reciclat - WOODBB55";vidaXL;ro_RO;"Acest cărucior de bucătărie adaugă o atmosferă distinctă și rustică și oferă spațiu de depozitare suplimentar casei dumneavoastră. Acest cărucior de bucătărie este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Acest lucru înseamnă că lemnul reciclat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se curbează. Cadrul din oțel vopsit electrostatic adaugă, de asemenea, robustețe. Acest cărucior de depozitare are 2 compartimente pentru a putea pune la îndemână alimente, sticle și alte elemente esențiale. Datorită designului pliant, căruciorul cu rafturi poate fi depozitat cu ușurință atunci când nu este utilizat. Mai mult, raftul de bucătărie este echipat cu roți flexibile pentru o mutare ușoară. Notă importantă: Culorile variază de la o piesă la alta, fiecare cărucior de bucătărie fiind unic.Material: Lemn masiv reciclat cu finisaj de culoare mixtă, oțel vopsit electrostaticDimensiuni: 87 x 36 x 81 cm (l x ad. x î)Cu un design pliabilAsamblare necesară: Nu";https://woodbeback.ro/living/55-carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat-8720286106037.html;https://woodbeback.ro/294-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/295-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/296-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/297-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/298-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/299-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;;;;"Cărucior de bucătărie";multicolor;Living;"lemn reciclat";Living
VX321628;56;8720286105207;"172.79 ";"172.79 ";19;1;2;3;;;;;;;"Suport de vin pentru 5 sticle, lemn reciclat - WOODBB56";vidaXL;ro_RO;"Căutați în continuare un mod deosebit de elegant și neobișnuit de a stoca vinul preferat? Acest raft pentru vin din lemn este exact alegerea potrivită. Suportul pentru vin este fabricat din lemn masiv reciclat, provenit din grinzi, podele și bârne de susținere din clădiri vechi demolate. În plus, poate să conțină diferite tipuri de lemn, cum ar fi tec, lemn de esență tare, lemn tropical, palisandru, lemn de mango, lemn de trandafir, etc. Aceasta înseamnă că lemnul recuperat păstrează caracteristicile acestor diferite tipuri de lemn. Lemnul recuperat este deja învechit, erodat și uscat. Prin urmare, nu se micșorează și nu se curbează. Poate susține până la 5 sticle. Fiecare raft este unic datorită granulației lemnului. Raftul de perete funcționează și ca un decor deosebit.Material: Lemn masiv reciclat cu finisaj în culori combinateDimensiuni: 18 x 15 x 70 cm (l x ad. x î)Susține până la 5 sticle";https://woodbeback.ro/suport-de-vin/56-suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat-8720286105207.html;https://woodbeback.ro/302-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/303-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/304-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/305-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/306-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/307-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;;;;"Suport de vin pentru 5 sticle";multicolor;"Suport de vin";"lemn reciclat";"Bucatarie si dining"
VX323534;57;8720286066874;"933.91 ";"933.91 ";19;1;1;3;;;;;;;"Măsuță de cafea, alb, 68x68x30 cm, lemn reciclat - WOODBB57";vidaXL;ro_RO;"Această masă de cafea unică prezintă un design deosebit, îmbunătățind decorul existent în spațiul dvs. de locuit.

Această masă pentru canapea este fabricată din lemn masiv reciclat și fier. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Deci, poate consta din diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Aceasta înseamnă, de asemenea, că lemnul recuperat păstrează caracteristicile acestor tipuri de esențe. Lemnul recuperat este deja învechit, degradat și uscat, deci nu se contractă și nu se curbează. În plus, baza de fier îi sporește rezistența și stabilitatea. Blatul solid oferă o suprafață stabilă și sigură pentru diferitele obiecte necesare.

Notă importantă: Culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare masă centrală fiind unică.

Material: Lemn masiv reciclat cu finisaj de culoare mixtă, fier cu finisaj alb
Dimensiuni: 68 x 68 x 30 cm (L x l x î)
Asamblare necesară: Nu
";https://woodbeback.ro/mese-bucatarie/57-masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat-8720286066874.html;https://woodbeback.ro/310-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/311-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/312-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/313-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/314-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/315-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;"Masute cafea";"lemn reciclat";Living
VX326182;58;8720286290699;"875.36 ";"875.36 ";19;1;150;3;;;;;;;"Bancă, 115 cm, lemn reciclat - WOODBB58";vidaXL;ro_RO;"Această bancă din lemn în stil vintage adaugă o notă de farmec antic și aduce camerei dvs. o completare mereu la modă. Banca este realizată manual din lemn masiv reciclat, o combinație de cherestea reciclată, inclusiv tec, lemn de mango, lemn de pin, fag etc. Lemnul acesta a fost reciclat din clădiri vechi, cum ar fi fabrici, magazii și bărci. Acest lucru îl face o opțiune ecologică fantastică pentru confecționarea mobilierului. Deoarece fiecare piesă este realizată manual, culorile variază, având multe nuanțe de albastru, verde, roșu și galben. Notă importantă: Culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare dintre ele fiind unică și ușor diferită de următoarea; livrarea este aleatorie.Culoare: MulticolorMaterial: Lemn masiv reciclat cu finisaj din lemn pentru bărciDimensiuni: 115 x 51 x 80 cm (l x ad. x î)Înălțime șezut față de sol: 45 cmÎnălțime cotieră față de sol: 60 cmAsamblare necesară: Da";https://woodbeback.ro/banci-pentru-living/58-banca-115-cm-lemn-masiv-reciclat-8720286290699.html;https://woodbeback.ro/318-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/319-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/320-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/321-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/322-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/323-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;;;;Bancă;multicolor;Banci;"lemn reciclat";"Hol sau vestibul"
VX241627;60;8718475916031;"461.24 ";"461.24 ";19;1;29;3;;;;;;;"Taburet, lemn reciclat - WOODBB60";vidaXL;ro_RO;"Acest taburet din lemn, în stil antichizat, vă va oferi cu siguranță un confort maxim la ședere. Structura simplă din lemn masiv oferă o rezistență ridicată, în timp ce modelul natural al fibrelor face din fiecare scaun o piesă unică. Acest taburet retro este fabricat din lemn reciclat, astfel încât fiecare piesă de mobilier este unică și ușor diferită de celelalte. Mobilierul realizat din lemn reciclat prezintă caracteristici ale diferitelor tipuri de lemn, precum tec, acacia, lemn de mango, lemn de santal etc. Lemnul reciclat este rezistent, solid, durabil și atrăgător. Găurile cuielor sau fibrele bine definite își spun poveștile din trecut și invită generația următoare să intre în povestea lor. Decorându-vă casa cu acest taburet, veți demonstra atitudinea dvs. față de conservarea resurselor, protecția mediului și dezvoltarea sustenabilă. Măiestria execuției manuale aduce un stil spectaculos de epocă taburetului și vă va desfata cu un stil exotic. Fiecare proces de recombinare, lustruire, vopsire și ceruire este pregătit elaborat. Scaunul antic va fi cu siguranță un element de decor perfect pentru casa dvs! Notă importantă: Culorile pot varia de la o piesă la alta, fiecare scaun de bar fiind unic. Livrarea este aleatorie.Material: Lemn masiv reciclat multicolorDimensiuni totale: 30 x 45 cm (Φ x î)Realizat exclusiv manualLustruit, parțial vopsit și ceruit";https://woodbeback.ro/tabureti/60-taburet-lemn-masiv-reciclat-8718475916031.html;https://woodbeback.ro/334-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/335-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/336-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/337-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/338-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/339-large_default/taburet-lemn-masiv-reciclat.jpg;;;;Taburet;multicolor;Tabureti;"lemn reciclat";Living
